epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.31757,1.34676,4.0656,2.00344,0.00666,1,0.58982,0.24475,1.15866,3.26783,2.04733,0.0001667,0.0001667,0.0001667
2,3.6581,1.03748,2.76441,1.6442,0.00493,1,0.68957,0.46734,0.88907,2.94125,1.63959,0.000349377,0.000349377,0.000349377
3,5.01053,0.92822,2.18877,1.53757,0.0052,1,0.70621,0.51923,0.66218,2.76079,1.48942,0.000531328,0.000531328,0.000531328
4,6.35857,0.88957,2.16072,1.52536,0.60623,0.48127,0.52542,0.37676,0.82988,2.61922,1.64053,0.000712552,0.000712552,0.000712552
5,7.69015,0.85917,1.90834,1.49097,0.70529,0.54544,0.72723,0.47832,1.00948,2.46565,1.92505,0.000893051,0.000893051,0.000893051
6,9.00994,0.97132,1.8283,1.57039,0.55735,0.61667,0.7061,0.37401,1.26091,2.46927,2.50227,0.00107282,0.00107282,0.00107282
7,10.3081,0.86263,1.7088,1.48741,0.84548,0.37295,0.70551,0.34075,1.19382,3.14482,2.47295,0.00125187,0.00125187,0.00125187
8,11.62,0.80584,1.52884,1.41083,0.63939,0.825,0.76589,0.45884,1.21587,2.12657,2.56132,0.00143019,0.00143019,0.00143019
9,12.9118,0.78586,1.44319,1.38887,0.98455,0.71667,0.89893,0.6601,0.75537,1.93646,1.6214,0.00160778,0.00160778,0.00160778
10,14.2198,0.80502,1.45639,1.40909,0.89295,0.77602,0.89585,0.53723,1.26575,1.61146,2.37599,0.00163729,0.00163729,0.00163729
11,15.521,0.75295,1.24376,1.3285,0.86797,0.89625,0.89536,0.72318,0.75558,1.32906,1.56552,0.00163399,0.00163399,0.00163399
12,16.8381,0.79076,1.21943,1.36105,0.9564,0.82793,0.93898,0.76126,0.73748,1.37082,1.41675,0.00163069,0.00163069,0.00163069
13,18.1418,0.79865,1.22171,1.36903,0.63938,0.66833,0.61826,0.47698,0.66792,1.92787,1.32909,0.00162739,0.00162739,0.00162739
